Entry Time,Exit Time,Symbol,Entry Price,Exit Price,Quantity,PnL ($),PnL (%),Win/Loss,Entry Reason,Exit Reason,Hold Time (min),Trailing Stop Used,Highest Price,Capital After,Notes
2026-02-13 00:14:48.000000,2026-02-13T05:06:52.774970,LQTYUSDT,0.284,0.2698,7042.253521126761,-99.99999999999994,-4.9999999999999964,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,292.0,No,0.284,9869.182242990655,LQTYUSDT_2026-02-13T00:14:48
2026-02-13 01:48:13.560314,2026-02-13T04:27:26.882526,TNSRUSDT,0.05563,0.0528485,35951.82455509617,-99.99999999999996,-4.999999999999999,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,159.0,No,0.05659,9900.0,TNSRUSDT_2026-02-13T01:48:13.560314
2026-02-13 01:57:39.212333,2026-02-14T09:10:51.230035,MANTAUSDT,0.0806,0.0808,24813.9,4.96,0.25,Win,SMA/EMA反発 + MACD上抜け + 出来高増,手動リセット（資金管理修正）,0.0,No,0.0808,10000.0,強制クローズ（クリーンスタート）
2026-02-13 02:58:44.683501,2026-02-13T05:57:11.441471,ZROUSDT,1.978,1.8791,1011.1223458038422,-100.0,-5.0,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,178.0,No,1.978,9769.182242990655,ZROUSDT_2026-02-13T02:58:44.683501
2026-02-13 02:59:56.061346,2026-02-13T04:48:10.175160,STGUSDT,0.1712,0.177122,11682.242990654206,69.18224299065433,3.459112149532716,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,108.0,Yes,0.1826,9969.182242990655,STGUSDT_2026-02-13T02:59:56.061346
2026-02-13 06:16:55.273496,2026-02-13T16:05:42.218143,LQTYUSDT,0.27,0.2754799999999999,7407.407407407407,40.59259259259207,2.0296296296296035,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,589.0,Yes,0.284,10042.881247004016,LQTYUSDT_2026-02-13T06:16:55.273496
2026-02-13 07:13:30.867397,2026-02-13T09:18:45.385188,TNSRUSDT,0.05397,0.0562502999999999,37057.62460626274,84.50250138966089,4.2251250694830444,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,125.0,Yes,0.05799,9853.684744380316,TNSRUSDT_2026-02-13T07:13:30.867397
2026-02-13 09:20:01.846526,2026-02-13T09:31:30.258772,TNSRUSDT,0.05766,0.0594318999999999,34686.0908775581,61.46028442594495,3.0730142212972478,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,11.0,Yes,0.06127,9915.14502880626,TNSRUSDT_2026-02-13T09:20:01.846526
2026-02-13 11:39:49.475652,2026-02-13T15:54:14.658206,ZROUSDT,1.859,1.94,1075.8472296933835,87.14362560516402,4.357181280258201,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,254.0,Yes,2.0,10002.288654411424,ZROUSDT_2026-02-13T11:39:49.475652
2026-02-13 13:28:35.539252,2026-02-13T19:12:53.901830,STGUSDT,0.1647,0.168198,12143.29083181542,42.477231329690014,2.1238615664845013,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,344.0,Yes,0.1734,10085.358478333706,STGUSDT_2026-02-13T13:28:35.539252
